物理テーブル,論理名,種別,entity,xlsx,DDL,画面利用,CRUD,利用画面
imm_company,,,,,,○,R,"加工不良データ, 特定工数データ"
tmh_acif_accounting_interface_consumption_tax_period,会計IF消費税期間マスタ,マスタ,,○,,,,
tmh_acif_accounting_interface_issue_files,会計Ｉ／Ｆ出庫ファイル,トラン,,○,,,,
tmh_acif_accounting_interface_job_controls,会計IFジョブコントロール,トラン,,○,,,,
tmh_acif_accounting_interface_mail_template,会計IFメールテンプレートマスタ,マスタ,,○,,,,
tmh_acif_accounting_interface_operation_schedule,会計IF運用スケジュールマスタ,マスタ,,○,,,,
tmh_acif_accounting_interface_package,会計IFパッケージマスタ,マスタ,,○,,,,
tmh_acif_accounting_interface_period,会計IF期間マスタ,マスタ,,○,,,,
tmh_acif_accounting_interface_receipt_files,会計Ｉ／Ｆ入庫ファイル,トラン,,○,,,,
tmh_acif_actual_cost_class_rule,,,○,,○,,,
tmh_acif_adjustment_goods_difference_link_controls,データ連携制御_60,トラン,,○,,,,
tmh_acif_adjustment_goods_inventory_difference_link_controls,データ連携制御_67,トラン,,○,,,,
tmh_acif_batch,,,○,,○,,,
tmh_acif_batch_order_records,一括オーダー実績,トラン,,○,,,,
tmh_acif_bulk_order_result,,,○,,○,,,
tmh_acif_bulk_order_result_processing,,,○,,○,,,
tmh_acif_consumable_control,消耗品コントロールマスタ,マスタ,,○,,,,
tmh_acif_consumable_inventory,,,,,○,,,
tmh_acif_consumption_tax_period,,,○,,○,,,
tmh_acif_cost_account_rule,,,○,,○,,,
tmh_acif_cost_calculation_account_decision,原価計算用科目判定マスタ,マスタ,,○,,,,
tmh_acif_cost_difference_adjustment_link_controls,データ連携制御_69,トラン,,○,,,,
tmh_acif_cost_journal_entry_rule,,,○,,○,,,
tmh_acif_cost_journal_pattern,原価仕訳パターンマスタ,マスタ,,○,,,,
tmh_acif_cost_variance_journal_interface,,,,,○,,,
tmh_acif_current_special_order_inventories,今回特調たな卸,トラン,,○,,,,
tmh_acif_data_integration_control,,,,,○,,,
tmh_acif_data_link_controls,データ連携制御,トラン,,○,,,,
tmh_acif_delivery_number_conversion_cum,,,○,,○,,,
tmh_acif_delivery_number_conversion_cum_dwh,,,○,,○,,,
tmh_acif_delivery_number_conversion_period_records,納番変換期次累積,トラン,,○,,,,
tmh_acif_department_cost_allocation_interface,,,,,○,,,
tmh_acif_department_cost_allocation_link_controls,データ連携制御_62,トラン,,○,,,,
tmh_acif_department_cost_transfer_interface,,,,,○,,,
tmh_acif_department_cost_transfer_link_controls,データ連携制御_63,トラン,,○,,,,
tmh_acif_diesel_fuel_transaction_tax,,,○,,○,,,
tmh_acif_diesel_transaction_tax,軽油取引税マスタ,マスタ,,○,,,,
tmh_acif_disposition_variance_interface,,,,,○,,,
tmh_acif_dwh_delivery_number_conversion_period_records,（DWH）納番変換期次累積,トラン,,○,,,,
tmh_acif_dwh_journal_entry_period_records,（DWH）仕訳情報期次累積,トラン,,○,,,,
tmh_acif_dwh_matching_details_period_records,（DWH）照合データ期次累積,トラン,,○,,,,
tmh_acif_dwh_material_cost_period_records,（DWH）資材原価期次累積,トラン,,○,,,,
tmh_acif_dwh_material_inventory_amount_period_records,（DWH）資材たな卸金額期次累積,トラン,,○,,,,
tmh_acif_dwh_material_issue_period_records,（DWH）資材出庫期次累積,トラン,,○,,,,
tmh_acif_dwh_material_purchase_period_records,（DWH）資材仕入期次累積,トラン,,○,,,,
tmh_acif_dwh_material_sales_period_records,（DWH）資材売上期次累積,トラン,,○,,,,
tmh_acif_dwh_parts_cost_period_records,（DWH）部品原価期次累積,トラン,,○,,,,
tmh_acif_dwh_parts_inventory_amount_period_records,（DWH）部品たな卸金額期次累積,トラン,,○,,,,
tmh_acif_dwh_parts_manufacturing_cost_period_records,（DWH）部品製造原価期次累積,トラン,,○,,,,
tmh_acif_dwh_parts_purchase_period_records,（DWH）部品仕入期次累積,トラン,,○,,,,
tmh_acif_dwh_parts_sales_cost_period_records,（DWH）部品売上原価期次累積,トラン,,○,,,,
tmh_acif_dwh_parts_sales_period_records,（DWH）部品売上期次累積,トラン,,○,,,,
tmh_acif_dwh_payroll_actual_period_records,（DWH）給与実績期次累積,トラン,,○,,,,
tmh_acif_dwh_processing_defect_amount_period_records,（DWH）加工不良金額期次累積,トラン,,○,,,,
tmh_acif_dwh_special_order_inventory_amount_period_records,（DWH）特調たな卸金額期次累積,トラン,,○,,,,
tmh_acif_dwh_special_order_purchase_period_records,（DWH）特調仕入期次累積,トラン,,○,,,,
tmh_acif_dwh_specific_processing_cost_period_records,（DWH）特定加工費期次累積,トラン,,○,,,,
tmh_acif_dwh_tmc_received_details_period_records,（DWH）TMC受信データ期次累積,トラン,,○,,,,
tmh_acif_dwh_work_in_progress_issue_period_records,（DWH）仕掛品出庫期次累積,トラン,,○,,,,
tmh_acif_email_template,,,○,,○,,,
tmh_acif_employee_payroll_account_rule,,,○,,○,,,
tmh_acif_employee_payroll_interface,,,,,○,,,
tmh_acif_error,,,○,,○,,,
tmh_acif_error_line,,,○,,○,,,
tmh_acif_error_record_details,エラー情報明細,トラン,,○,,,,
tmh_acif_error_records,エラー情報,トラン,,○,,,,
tmh_acif_external_manufactured_product_unit_price,外販用内製品単価マスタ,マスタ,,○,,,,
tmh_acif_external_manufacturing_item_price,,,○,,○,,,
tmh_acif_external_part_purchase_price,,,○,,○,,,
tmh_acif_external_parts_purchase_unit_price,外販用部品仕入単価マスタ,マスタ,○,○,,,,
tmh_acif_finished_goods_variance_journal_interface,,,,,○,,,
tmh_acif_half_period_actual_decision,１／２・実勘判定マスタ,マスタ,,○,,,,
tmh_acif_hr_payroll_account_decision,人事給与用科目判定マスタ,マスタ,,○,,,,
tmh_acif_hr_payroll_link_controls,データ連携制御_11,トラン,,○,,,,
tmh_acif_inbound_batch,,,○,,○,,,
tmh_acif_inventory_line,,,○,,○,,,
tmh_acif_inventory_variance_journal_interface,,,,,○,,,
tmh_acif_issue_difference_link_controls,データ連携制御_50,トラン,,○,,,,
tmh_acif_issue_inbound,,,○,,○,,,
tmh_acif_issue_variance_interface,,,,,○,,,
tmh_acif_item_account_rule,,,○,,○,,,
tmh_acif_item_cogs_cum,,,○,,○,,,
tmh_acif_item_cogs_cum_dwh,,,○,,○,,,
tmh_acif_item_cogs_interface,,,,,○,,,
tmh_acif_item_creation_notice,,,○,,○,,,
tmh_acif_item_inventory_amount_cum,,,○,,○,,,
tmh_acif_item_inventory_amount_cum_dwh,,,○,,○,,,
tmh_acif_item_inventory_interface,,,,,○,,,
tmh_acif_item_inventory_line,,,○,,○,,,
tmh_acif_item_issue,,,○,,○,,,
tmh_acif_item_issue_account_rule,,,○,,○,,,
tmh_acif_item_issue_cum,,,○,,○,,,
tmh_acif_item_issue_cum_dwh,,,○,,○,,,
tmh_acif_item_issue_interface,,,,,○,,,
tmh_acif_item_issue_price,,,○,,○,,,
tmh_acif_item_issue_price_processing,,,○,,○,,,
tmh_acif_item_purchase_amount_cum,,,○,,○,,,
